time,value
2024-07-15T14:11:43.457311961Z,{"lat":10.834204964341792,"lon":106.77371884676339}
2024-07-15T14:11:44.462681524Z,{"lat":10.834204964341792,"lon":106.77371884676339}
2024-07-15T14:11:45.457877665Z,{"lat":10.834193087226927,"lon":106.77373624728592}
2024-07-15T14:11:46.468414123Z,{"lat":10.834179881237846,"lon":106.77374144873573}
2024-07-15T14:11:47.812519676Z,{"lat":10.834181890312221,"lon":106.77371572670783}
2024-07-15T14:11:48.857705572Z,{"lat":10.834164063740253,"lon":106.77371083417408}
2024-07-15T14:11:49.852211953Z,{"lat":10.834126373033419,"lon":106.77371407689607}
2024-07-15T14:11:50.84690248Z,{"lat":10.834098718522903,"lon":106.77371505507492}
2024-07-15T14:11:51.880664762Z,{"lat":10.834065587117498,"lon":106.77371132225944}
2024-07-15T14:11:52.883133797Z,{"lat":10.834039636393923,"lon":106.77370751692344}
2024-07-15T14:11:53.986019432Z,{"lat":10.834024012120853,"lon":106.77373102995638}
2024-07-15T14:11:54.930226274Z,{"lat":10.834016653035297,"lon":106.77372977972726}
2024-07-15T14:11:55.931801195Z,{"lat":10.834002921042115,"lon":106.77373558902771}
2024-07-15T14:11:56.942168203Z,{"lat":10.833985761786256,"lon":106.77371935732545}
2024-07-15T14:11:57.967988281Z,{"lat":10.83398517478943,"lon":106.7736882352803}
2024-07-15T14:11:58.972060206Z,{"lat":10.8339745637589,"lon":106.7737000627741}
2024-07-15T14:11:59.977827766Z,{"lat":10.83396898118594,"lon":106.77368301740506}
2024-07-15T14:12:01.012819338Z,{"lat":10.833977633704293,"lon":106.77360993983268}
2024-07-15T14:12:02.01280493Z,{"lat":10.833969673537085,"lon":106.77356518108218}
2024-07-15T14:12:03.022500226Z,{"lat":10.833958865740064,"lon":106.77352445933444}
2024-07-15T14:12:04.042234995Z,{"lat":10.8339359207774,"lon":106.77348750522629}
2024-07-15T14:12:05.063852745Z,{"lat":10.833922088883106,"lon":106.77344510415638}
2024-07-15T14:12:06.285966328Z,{"lat":10.833912329586317,"lon":106.77341819551094}
2024-07-15T14:12:07.079832826Z,{"lat":10.833895355880632,"lon":106.77339465838517}
2024-07-15T14:12:08.092631064Z,{"lat":10.833880512239688,"lon":106.7733624535017}
2024-07-15T14:12:09.103084535Z,{"lat":10.833876460192574,"lon":106.77332437252424}
2024-07-15T14:12:10.118404494Z,{"lat":10.833864122907228,"lon":106.77329351365543}
2024-07-15T14:12:11.140485009Z,{"lat":10.833853503238576,"lon":106.77324775990918}
2024-07-15T14:12:12.152301362Z,{"lat":10.833845762763644,"lon":106.7732057618141}
2024-07-15T14:12:13.182166572Z,{"lat":10.833840468786335,"lon":106.77315689032505}
2024-07-15T14:12:14.182395256Z,{"lat":10.833826913113903,"lon":106.77311045064496}
2024-07-15T14:12:15.182179294Z,{"lat":10.83382760280558,"lon":106.77307593175281}
2024-07-15T14:12:16.202469578Z,{"lat":10.833825373085276,"lon":106.77304292773154}
2024-07-15T14:12:17.258296666Z,{"lat":10.833824641298948,"lon":106.77301852988815}
2024-07-15T14:12:18.506758628Z,{"lat":10.833825095665283,"lon":106.77299189901451}
2024-07-15T14:12:19.253427653Z,{"lat":10.83382356126951,"lon":106.77297050653213}
2024-07-15T14:12:20.262193193Z,{"lat":10.833822874572554,"lon":106.77293990569729}
2024-07-15T14:12:21.282634814Z,{"lat":10.833814957934912,"lon":106.77291268479566}
2024-07-15T14:12:22.282369629Z,{"lat":10.83380952388922,"lon":106.77288313305343}
2024-07-15T14:12:23.29620147Z,{"lat":10.833820333002128,"lon":106.77286871574859}
2024-07-15T14:12:24.316373866Z,{"lat":10.833820441317156,"lon":106.77281145956891}
2024-07-15T14:12:25.545960537Z,{"lat":10.833816688660443,"lon":106.77275748831993}
2024-07-15T14:12:26.498381907Z,{"lat":10.833803835364586,"lon":106.7726448824631}
2024-07-15T14:12:27.351988242Z,{"lat":10.833789284007832,"lon":106.77259109855105}
2024-07-15T14:12:28.367210923Z,{"lat":10.833789284007832,"lon":106.77259109855105}
2024-07-15T14:12:29.366993519Z,{"lat":10.833774991545797,"lon":106.77245863986361}
2024-07-15T14:12:30.376238552Z,{"lat":10.833763913234675,"lon":106.77238717257038}
2024-07-15T14:12:31.386251969Z,{"lat":10.833789570654123,"lon":106.77230806244557}
2024-07-15T14:12:32.397816187Z,{"lat":10.833768130548297,"lon":106.77223559670503}
2024-07-15T14:12:33.422527894Z,{"lat":10.833747811445685,"lon":106.77215085543247}
2024-07-15T14:12:34.432278656Z,{"lat":10.833694870273023,"lon":106.77206505273664}
2024-07-15T14:12:35.446518028Z,{"lat":10.83366601298138,"lon":106.77197385547986}
2024-07-15T14:12:36.466376157Z,{"lat":10.833633040593101,"lon":106.77188430720535}
2024-07-15T14:12:37.492316403Z,{"lat":10.83359530807228,"lon":106.77179848794945}
2024-07-15T14:12:38.535497306Z,{"lat":10.833557299608918,"lon":106.77171996044801}
2024-07-15T14:12:39.524100098Z,{"lat":10.833521894833828,"lon":106.77165249473437}
2024-07-15T14:12:40.532962216Z,{"lat":10.833491709226141,"lon":106.77157782123507}
2024-07-15T14:12:41.552136643Z,{"lat":10.833471627673282,"lon":106.7714909856677}
2024-07-15T14:12:42.948090085Z,{"lat":10.8334330341343,"lon":106.77140660770895}
2024-07-15T14:12:44.345251101Z,{"lat":10.833403940999816,"lon":106.77132621511046}
2024-07-15T14:12:44.858202592Z,{"lat":10.833375940706794,"lon":106.77124647752926}
2024-07-15T14:12:45.630355298Z,{"lat":10.833343612336103,"lon":106.77119125652548}
2024-07-15T14:12:46.63645484Z,{"lat":10.833371648533841,"lon":106.77110825412433}
2024-07-15T14:12:47.626547353Z,{"lat":10.833336611144633,"lon":106.77106357981707}
2024-07-15T14:12:48.646413323Z,{"lat":10.833316626078012,"lon":106.77103010461637}
2024-07-15T14:12:49.666425563Z,{"lat":10.83329974054705,"lon":106.77100182117265}
2024-07-15T14:12:50.690205009Z,{"lat":10.833282529492449,"lon":106.77097299247161}
2024-07-15T14:12:51.703030327Z,{"lat":10.833263477195631,"lon":106.77094107967194}
2024-07-15T14:12:52.722417341Z,{"lat":10.833243871230852,"lon":106.77090823947107}
2024-07-15T14:12:53.726013878Z,{"lat":10.83322418152952,"lon":106.7708752590106}
2024-07-15T14:12:54.752749708Z,{"lat":10.833203610317868,"lon":106.77084080201273}
2024-07-15T14:12:55.746552065Z,{"lat":10.833183215326736,"lon":106.77080664018607}
2024-07-15T14:12:56.756254244Z,{"lat":10.833121298020576,"lon":106.7707988788624}
2024-07-15T14:12:57.774428455Z,{"lat":10.833096157990692,"lon":106.77075889896419}
2024-07-15T14:12:58.838809596Z,{"lat":10.833083254733719,"lon":106.77071235214599}
2024-07-15T14:12:59.78416449Z,{"lat":10.83309444794556,"lon":106.77064976004196}
2024-07-15T14:13:00.798427184Z,{"lat":10.833069903089749,"lon":106.77060823931501}
2024-07-15T14:13:01.819145557Z,{"lat":10.833040019377375,"lon":106.77055768723916}
2024-07-15T14:13:02.828643006Z,{"lat":10.83301102876624,"lon":106.77050864595866}
2024-07-15T14:13:03.848820945Z,{"lat":10.832988673374782,"lon":106.77047082898603}
2024-07-15T14:13:04.880303746Z,{"lat":10.832961378508873,"lon":106.77042465627535}
