time,value
2024-07-16T00:45:07.125121156Z,{"lat":10.834362476247005,"lon":106.77338760243346}
2024-07-16T00:45:08.154426272Z,{"lat":10.83436018624123,"lon":106.77339166630767}
2024-07-16T00:45:09.165990791Z,{"lat":10.834356382260676,"lon":106.77338928032562}
2024-07-16T00:45:10.185853274Z,{"lat":10.834360147968495,"lon":106.77338999967742}
2024-07-16T00:45:11.206090639Z,{"lat":10.834359088173825,"lon":106.7733935365733}
2024-07-16T00:45:12.215989917Z,{"lat":10.834361639919575,"lon":106.77339216535354}
2024-07-16T00:45:13.240311572Z,{"lat":10.834369395472896,"lon":106.77339256720744}
2024-07-16T00:45:14.245810986Z,{"lat":10.834376019759452,"lon":106.77339418443978}
2024-07-16T00:45:15.265554778Z,{"lat":10.834376196137914,"lon":106.77339455297331}
2024-07-16T00:45:16.286149964Z,{"lat":10.834376347434901,"lon":106.77338871922026}
2024-07-16T00:45:17.295987787Z,{"lat":10.834375462992515,"lon":106.77339067432223}
2024-07-16T00:45:18.295721376Z,{"lat":10.834375388567791,"lon":106.77338935900255}
2024-07-16T00:45:19.325618064Z,{"lat":10.834376596145587,"lon":106.77338800842115}
2024-07-16T00:45:20.335575955Z,{"lat":10.834375428701934,"lon":106.77338629846703}
2024-07-16T00:45:21.379156453Z,{"lat":10.834376891346528,"lon":106.77338396758532}
2024-07-16T00:45:22.375860805Z,{"lat":10.834381235539947,"lon":106.77338555360627}
2024-07-16T00:45:23.389074019Z,{"lat":10.834382246012218,"lon":106.77337961724969}
2024-07-16T00:45:24.42593502Z,{"lat":10.834383049889016,"lon":106.77337537171223}
2024-07-16T00:45:25.445753967Z,{"lat":10.834385025060476,"lon":106.77337430141921}
2024-07-16T00:45:26.456015709Z,{"lat":10.834385421848227,"lon":106.7733719720053}
2024-07-16T00:45:27.465602384Z,{"lat":10.834385814052958,"lon":106.77337145767616}
2024-07-16T00:45:28.464968991Z,{"lat":10.834384382133308,"lon":106.77336935181614}
2024-07-16T00:45:29.48589184Z,{"lat":10.834385096259222,"lon":106.77337037182787}
2024-07-16T00:45:30.500908397Z,{"lat":10.834385401920608,"lon":106.77336905304075}
2024-07-16T00:45:31.525781989Z,{"lat":10.834386821412082,"lon":106.77336708340133}
2024-07-16T00:45:32.555652393Z,{"lat":10.834387068994959,"lon":106.77336550832688}
2024-07-16T00:45:33.551611212Z,{"lat":10.834387379727255,"lon":106.77336400672864}
2024-07-16T00:45:34.592254576Z,{"lat":10.834408031624125,"lon":106.77334442376173}
2024-07-16T00:45:35.6039534Z,{"lat":10.834412404581304,"lon":106.77334409941648}
2024-07-16T00:45:36.584253739Z,{"lat":10.834410082372433,"lon":106.77334900306603}
2024-07-16T00:45:37.62382965Z,{"lat":10.834411925100966,"lon":106.77335001102395}
2024-07-16T00:45:38.625927879Z,{"lat":10.83441076193041,"lon":106.77335339677042}
2024-07-16T00:45:58.305054972Z,{"lat":10.834463483190627,"lon":106.77353935529982}
2024-07-16T00:45:59.328723723Z,{"lat":10.834463483190627,"lon":106.77353935529982}
2024-07-16T00:46:00.341501463Z,{"lat":10.83439067024042,"lon":106.77345054177616}
2024-07-16T00:46:01.350883689Z,{"lat":10.834389884271397,"lon":106.77339437583899}
2024-07-16T00:46:02.383654907Z,{"lat":10.834425904764677,"lon":106.77339843288473}
2024-07-16T00:46:03.430768059Z,{"lat":10.83440448351446,"lon":106.77340372196826}
2024-07-16T00:46:04.385361246Z,{"lat":10.834394397631092,"lon":106.77342336948753}
2024-07-16T00:46:05.393626164Z,{"lat":10.834392801815484,"lon":106.7734350121056}
2024-07-16T00:46:06.415067383Z,{"lat":10.834387118565882,"lon":106.77342862925849}
2024-07-16T00:46:07.45538718Z,{"lat":10.834381243236335,"lon":106.77342277452269}
2024-07-16T00:46:08.440394682Z,{"lat":10.834389934981001,"lon":106.77343168515229}
2024-07-16T00:46:09.470806637Z,{"lat":10.83438920589631,"lon":106.77344041047124}
2024-07-16T00:46:10.485739668Z,{"lat":10.834386052577965,"lon":106.77346259484499}
2024-07-16T00:46:11.503921248Z,{"lat":10.834384121298413,"lon":106.77348454725964}
2024-07-16T00:46:12.510529215Z,{"lat":10.834382658279482,"lon":106.77350090173597}
2024-07-16T00:46:13.530413914Z,{"lat":10.834392239412244,"lon":106.77354170105852}
2024-07-16T00:46:14.550403137Z,{"lat":10.83438545664565,"lon":106.773576171723}
2024-07-16T00:46:15.553957516Z,{"lat":10.834392591203276,"lon":106.77361062946864}
2024-07-16T00:46:16.580403255Z,{"lat":10.83439456465439,"lon":106.77363067663853}
2024-07-16T00:46:17.590341187Z,{"lat":10.834398655947966,"lon":106.77365119812696}
2024-07-16T00:46:18.615641209Z,{"lat":10.83437907458508,"lon":106.7736552495958}
2024-07-16T00:46:19.620576358Z,{"lat":10.834348753258546,"lon":106.77367631982337}
2024-07-16T00:46:20.648218968Z,{"lat":10.834328298023886,"lon":106.77369794362586}
2024-07-16T00:46:21.661042241Z,{"lat":10.83430556759648,"lon":106.77370674251713}
2024-07-16T00:46:22.673888375Z,{"lat":10.834295615702207,"lon":106.77370654875376}
2024-07-16T00:46:23.683997602Z,{"lat":10.834268012606227,"lon":106.77371468985602}
2024-07-16T00:46:24.70562012Z,{"lat":10.83424105606934,"lon":106.77371433926074}
2024-07-16T00:46:25.700664067Z,{"lat":10.834201118337345,"lon":106.77368764343674}
2024-07-16T00:46:26.73465461Z,{"lat":10.83417091772939,"lon":106.7736856874357}
2024-07-16T00:46:27.751011831Z,{"lat":10.834137220879654,"lon":106.77367286775981}
2024-07-16T00:46:28.745730498Z,{"lat":10.834091616630538,"lon":106.77366242211721}
2024-07-16T00:46:29.780349224Z,{"lat":10.834050205912087,"lon":106.77366393242791}
2024-07-16T00:46:30.80865957Z,{"lat":10.834020712271368,"lon":106.77366947624037}
2024-07-16T00:46:31.810447098Z,{"lat":10.833990825150012,"lon":106.7736651683028}
2024-07-16T00:46:32.831028846Z,{"lat":10.833970780480017,"lon":106.77366221972477}
2024-07-16T00:46:33.840394046Z,{"lat":10.833964659073539,"lon":106.77366148364572}
2024-07-16T00:46:34.869038426Z,{"lat":10.833963756245574,"lon":106.77365151162645}
2024-07-16T00:46:35.870469112Z,{"lat":10.833958030462767,"lon":106.77362574093826}
2024-07-16T00:46:36.893939531Z,{"lat":10.833944268999433,"lon":106.7735920411418}
2024-07-16T00:46:37.910283264Z,{"lat":10.833938000060943,"lon":106.77355963460897}
2024-07-16T00:46:38.92061357Z,{"lat":10.833925833574355,"lon":106.77352461127809}
2024-07-16T00:46:39.940166191Z,{"lat":10.833907105799137,"lon":106.7734880282122}
2024-07-16T00:46:40.954137827Z,{"lat":10.833891349202922,"lon":106.77343486649234}
2024-07-16T00:46:41.960394822Z,{"lat":10.833884619840168,"lon":106.77338406728963}
2024-07-16T00:46:42.980723875Z,{"lat":10.833872027932633,"lon":106.77332719672947}
2024-07-16T00:46:44.013588013Z,{"lat":10.833854885016827,"lon":106.77327447825455}
2024-07-16T00:46:45.015260192Z,{"lat":10.833842647226156,"lon":106.77321941793295}
2024-07-16T00:46:46.056425263Z,{"lat":10.83383567091966,"lon":106.77317047397838}
2024-07-16T00:46:47.042087143Z,{"lat":10.833835702470873,"lon":106.77312982484749}
2024-07-16T00:46:48.077683659Z,{"lat":10.833839900792096,"lon":106.77309327956203}
2024-07-16T00:46:49.082497176Z,{"lat":10.83385196504075,"lon":106.77307112991666}
2024-07-16T00:46:50.092987919Z,{"lat":10.833846212697091,"lon":106.77307403098219}
2024-07-16T00:46:51.120327554Z,{"lat":10.83384671967322,"lon":106.7730498505385}
2024-07-16T00:46:52.130752363Z,{"lat":10.833832107759525,"lon":106.77299389393994}
2024-07-16T00:46:53.122451277Z,{"lat":10.833818387582927,"lon":106.77296762173937}
2024-07-16T00:46:54.141072897Z,{"lat":10.83380805485661,"lon":106.77293563867663}
2024-07-16T00:46:55.17269893Z,{"lat":10.833804559462273,"lon":106.77290385583603}
2024-07-16T00:46:56.167855736Z,{"lat":10.833799372475196,"lon":106.7728307978913}
2024-07-16T00:46:57.202644061Z,{"lat":10.833807963234412,"lon":106.77276744726927}
2024-07-16T00:46:58.226285529Z,{"lat":10.833798272295793,"lon":106.77270870595748}
2024-07-16T00:46:59.232231037Z,{"lat":10.833795211080128,"lon":106.77265792943264}
2024-07-16T00:47:00.25622582Z,{"lat":10.83377473441955,"lon":106.77260158034649}
2024-07-16T00:47:01.267458474Z,{"lat":10.833759064183269,"lon":106.77254200698675}
